time,ndvi_mean,lst_mean,temperature_avg,temperature_min,temperature_max,relative_humidity,sunshine_duration,wind_velocity,precipitation,solar_radiation,evaporation,elevation,temp_diff
2023-04-07,0.3917406209924701,34.96916328669516,25.3,21.56,29.92,78,81,1.6,0.18,132.47,3.7,169.0477337923121,-5.049163286695155
2023-04-23,0.37333428633898524,34.303743437555866,26.52,24.83,28.83,89,56,3.0,7.95,90.88,0.0,169.0477337923121,-5.473743437555868
2023-05-25,0.3596784611396951,36.1818761838305,26.21,23.83,29.74,84,65,1.2,4.96,96.26,1.9,169.0477337923121,-6.441876183830498
2023-06-10,0.3556063351752497,35.15183459713537,26.41,23.93,30.2,87,69,1.9,1.18,99.3,5.7,169.0477337923121,-4.95183459713537
2023-06-26,0.35476978672187703,22.752890317601857,25.58,22.02,29.83,82,57,1.7,1.45,82.92,2.6,169.0477337923121,7.077109682398142
2023-07-12,0.35528057737934043,32.315309928265464,26.04,23.39,30.36,82,66,1.0,0.88,96.15,3.5,169.0477337923121,-1.9553099282654642
2023-07-28,0.31713014455010075,18.364130928758232,25.02,21.95,29.31,77,72,2.5,0.47,107.35,2.2,169.0477337923121,10.945869071241766
2023-08-29,0.33820611709296217,31.43166117998688,25.07,21.27,30.2,74,74,1.4,0.01,118.87,3.3,169.0477337923121,-1.2316611799868795
2023-09-14,0.340933620887302,36.331238642339045,25.8,21.83,31.07,78,66,2.1,0.24,110.38,5.4,169.0477337923121,-5.261238642339045
2023-09-30,0.33157588992323767,36.37736881217479,26.77,22.03,33.04,79,33,1.3,0.63,61.01,3.6,169.0477337923121,-3.3373688121747875
2023-10-16,0.34690215464163837,38.189574794678066,28.65,24.06,34.54,69,62,2.2,0.04,107.16,5.1,169.0477337923121,-3.649574794678067
2023-11-01,0.33502009352105344,37.71968650008544,27.92,24.54,32.81,85,54,2.4,5.73,94.34,0.0,169.0477337923121,-4.909686500085435
2023-11-17,0.30941144133340764,38.00796010605784,26.94,24.13,30.78,85,53,1.8,4.73,92.06,4.6,169.0477337923121,-7.227960106057836
2024-03-24,0.28718435110393276,28.51827485309463,27.46,24.59,31.11,87,52,1.7,5.21,90.4,4.22,169.0477337923121,2.591725146905368
2024-05-11,0.33606352131464196,30.588050276583463,27.22,24.93,30.79,83,60,3.1,8.06,92.13,2.57,169.0477337923121,0.2019497234165364
2024-05-27,0.33341355431185,30.363402671248377,27.26,23.65,31.5,85,39,1.0,0.52,60.58,4.22,169.0477337923121,1.1365973287516233
2024-06-28,0.2393159137528907,21.2070421148489,26.91,23.68,30.78,84,56,1.8,3.1,81.7,3.96,169.0477337923121,9.572957885151101
2024-07-14,0.3520784020423749,25.50802142019713,24.55,20.93,28.93,77,69,0.9,6.62,100.63,3.27,169.0477337923121,3.421978579802868
2024-07-30,0.33437036651207164,30.40635212120239,25.62,21.84,30.52,74,81,2.3,0.04,120.57,5.23,169.0477337923121,0.11364787879761096
2024-08-15,0.34653865689400837,31.00641974234562,25.19,20.81,30.39,74,78,2.2,1.99,121.02,4.78,169.0477337923121,-0.6164197423456201
2024-08-31,0.3279954782985789,24.94481915843629,26.0,22.04,30.95,75,74,2.2,0.04,119.66,3.67,169.0477337923121,6.0051808415637105
2024-09-16,0.35671463348625354,31.760870179231294,25.11,21.41,30.59,74,67,2.1,0.9,112.44,5.55,169.0477337923121,-1.1708701792312937
2024-10-18,0.34952959176096043,36.07460867027598,25.91,21.62,31.35,71,85,1.8,0.04,143.39,4.85,169.0477337923121,-4.724608670275977
